kit_number,player_name,position,Date of birth / Age,nationality,height,foot,joined,signed_from,contract,market_value,club_name
3,Bayu Aji,Centre-Back,,Indonesia,"1,78m",,21-Jan-23,NZR Sumbersari FC,-,€10k,Arema FC
4,Syaeful Anwar,Centre-Back,"Dec 1, 1994 (28)",Indonesia,"1,84m",right,27-Apr-22,Persita Tangerang,2024,€125k,Arema FC
5,Bagas Adi,Centre-Back,"Mar 8, 1997 (26)",Indonesia,"1,76m",left,7-Jan-20,Bhayangkara FC,-,€200k,Arema FC
7,Ariel Lucero,Attacking Midfield,"Apr 16, 1999 (24)",Argentina,"1,70m",left,1-Jul-23,Club Atlético All Boys,-,€250k,Arema FC
8,Arkhan Fikri,Attacking Midfield,"Dec 28, 2004 (18)",Indonesia,"1,65m",right,15-Jun-22,PS Kwarta Deli Serdang,-,€150k,Arema FC
9,Evan Dimas,Central Midfield,"Mar 13, 1995 (28)",Indonesia,"1,67m",both,1-Apr-22,Bhayangkara FC,-,€250k,Arema FC
10,Muhammad Rafli,Attacking Midfield,"Nov 24, 1998 (24)",Indonesia,"1,80m",both,1-Jul-16,ASIFA,-,€225k,Arema FC
11,Charles Lokolingoy,Centre-Forward,"Mar 2, 1997 (26)",Australia,"1,88m",right,1-Jul-23,Zebbug Rangers FC,-,€300k,Arema FC
12,Rifad Marasabessy,Right-Back,"Jul 7, 1999 (23)",Indonesia,"1,68m",right,1-Jul-23,Borneo FC Samarinda,-,€175k,Arema FC
14,Jayus Hariono,Defensive Midfield,"Jan 27, 1997 (26)",Indonesia,"1,74m",right,1-Jan-18,Persekam Metro FC,-,€175k,Arema FC
15,Ichaka Diarra,Centre-Back,"Jan 18, 1995 (28)",Mali,"1,92m",left,1-Jul-23,Al-Ansar FC,-,€275k,Arema FC
17,Ginanjar,Centre-Forward,"Nov 20, 2003 (19)",Indonesia,"1,79m",right,1-Jul-23,Persija Jakarta,30-Jun-24,€100k,Arema FC
18,Julian Schwarzer,Goalkeeper,"Oct 26, 1999 (23)",Philippines,"1,81m",,20-Jul-23,Kuching City,-,€100k,Arema FC
19,Achmad Syarif,Attacking Midfield,"Apr 24, 2003 (20)",Indonesia,"1,82m",right,1-Jul-23,Persija Jakarta,30-Jun-24,€50k,Arema FC
20,Samuel Balinsa,Central Midfield,"Feb 26, 1994 (29)",Indonesia,"1,79m",left,1-Jul-23,Persewar Waropen,-,-,Arema FC
21,Flabio Soares,Centre-Forward,"Feb 2, 1999 (24)",Indonesia,-,right,1-Jul-23,Malut United FC,-,-,Arema FC
22,Dicki Agung,Goalkeeper,"Dec 16, 1998 (24)",Indonesia,"1,80m",right,1-Jul-23,Deltras FC,-,-,Arema FC
23,Teguh Amiruddin,Goalkeeper,"Aug 13, 1993 (29)",Indonesia,"1,83m",right,21-Jan-20,TIRA-Persikabo,-,€75k,Arema FC
25,Asyraq Gufron,Centre-Back,"Feb 9, 1996 (27)",Indonesia,"1,75m",right,1-Jul-23,Bhayangkara FC,-,€100k,Arema FC
26,Achmad Figo,Right-Back,"Dec 25, 2001 (21)",Indonesia,"1,85m",both,1-Aug-21,Arema FC Youth,31-Dec-23,€125k,Arema FC
27,Dedik Setiawan,Centre-Forward,"Jun 27, 1994 (29)",Indonesia,"1,77m",right,25-Sep-16,Persekam Metro FC,-,€200k,Arema FC
28,Seiya Da Costa,Defensive Midfield,"Sep 30, 2001 (21)",Indonesia,"1,77m",right,12-Jul-23,Arema FC Youth,-,€50k,Arema FC
29,Adixi Lenzivio,Goalkeeper,"Sep 29, 1992 (30)",Indonesia,"1,72m",right,1-Jul-23,PSMS Medan,-,€75k,Arema FC
32,Charles Almeida,Defensive Midfield,"Apr 10, 1995 (28)",Brazil,"1,84m",right,1-Jul-23,Manaus Futebol Clube,-,-,Arema FC
41,Dendi Santoso,Right Winger,"May 16, 1990 (33)",Indonesia,"1,72m",both,1-Jul-13,Arema Indonesia,-,€125k,Arema FC
58,Mikael Tata,Left-Back,"May 10, 2004 (19)",Indonesia,"1,74m",left,1-Jul-23,Waanal Brothers FC,-,€50k,Arema FC
66,Gufroni Al Maruf,Right Winger,"Jul 19, 1997 (26)",Indonesia,"1,72m",right,13-Jul-23,Dewa United,2024,€125k,Arema FC
70,Gustavo,Centre-Forward,"Jul 25, 1996 (26)",Brazil,"1,85m",right,1-Jul-23,Al-Nasr SC (Kuwait),-,-,Arema FC
79,Hamdi Sula,Right-Back,"Nov 3, 1997 (25)",Indonesia,"1,70m",right,1-Jul-23,PSMS Medan,-,€75k,Arema FC
86,Greg Nwokolo,Left Winger,"Jan 3, 1986 (37)",Indonesia,"1,75m",right,20-Jul-23,Without Club,-,€100k,Arema FC
87,Johan Alfarizi,Left-Back,"May 25, 1990 (33)",Indonesia,"1,73m",left,1-Jul-13,Arema Indonesia,-,€175k,Arema FC
97,Samsudin,Right Winger,"Mar 27, 1997 (26)",Indonesia,"1,67m",right,1-Jul-23,Deltras FC,-,€100k,Arema FC
1,Adilson Maringá,Goalkeeper,"Aug 22, 1990 (32)",Brazil,"1,94m",right,1-Jul-23,Arema FC,-,€300k,Bali United FC
2,Ardi Idrus,Right-Back,"Jan 22, 1993 (30)",Indonesia,"1,65m",both,10-May-22,PERSIB Bandung,-,€175k,Bali United FC
4,Elias Dolah,Centre-Back,"Apr 24, 1993 (30)",Thailand,"1,96m",right,1-Jul-23,Port FC,31-May-24,€250k,Bali United FC
5,Haudi Abdillah,Centre-Back,"Apr 20, 1993 (30)",Indonesia,"1,80m",right,12-Jan-19,PSIS Semarang,-,€175k,Bali United FC
7,Sidik Saimima,Central Midfield,"Jun 4, 1997 (26)",Indonesia,"1,65m",right,6-Jan-20,PSS Sleman,2024,€125k,Bali United FC
9,Ilija Spasojević,Centre-Forward,"Sep 11, 1987 (35)",Indonesia,"1,87m",both,13-Dec-17,Bhayangkara FC,31-Dec-23,€300k,Bali United FC
10,Éber Bessa,Attacking Midfield,"Mar 21, 1992 (31)",Brazil,"1,66m",right,8-Sep-21,CD Nacional,-,€350k,Bali United FC
11,Yabes Roni,Left Winger,"Feb 6, 1995 (28)",Indonesia,"1,68m",both,13-Jan-15,Without Club,-,€175k,Bali United FC
13,Rakasurya Handika,Goalkeeper,"Jun 13, 2000 (23)",Indonesia,"1,80m",right,1-Jan-19,Bali United FC Youth,-,€50k,Bali United FC
14,Fadil Sausu,Central Midfield,"Apr 19, 1985 (38)",Indonesia,"1,74m",left,13-Jan-15,Persisam Putra Samarinda (- 2014),2024,€50k,Bali United FC
17,Taufik Hidayat,Centre-Forward,"Dec 16, 1999 (23)",Indonesia,"1,79m",right,1-Jul-23,Madura United FC,-,€125k,Bali United FC
18,Kadek Agung,Attacking Midfield,"Jun 25, 1998 (25)",Indonesia,"1,70m",right,18-Jan-18,Bali United FC Youth,-,€175k,Bali United FC
22,Novri Setiawan,Right-Back,"Nov 11, 1993 (29)",Indonesia,"1,73m",both,10-May-22,Persija Jakarta,-,€175k,Bali United FC
23,Ryuji Utomo,Centre-Back,"Jul 1, 1995 (28)",Indonesia,"1,83m",right,11-Jan-23,Persija Jakarta,-,€225k,Bali United FC
24,Ricky Fajrin,Left-Back,"Sep 6, 1995 (27)",Indonesia,"1,77m",left,13-Jan-15,Without Club,-,€275k,Bali United FC
26,Komang Tri Arta,Centre-Back,"Sep 30, 2001 (21)",Indonesia,"1,81m",right,23-Jul-20,Bali United FC Youth,31-Dec-23,€100k,Bali United FC
33,Made Andhika,Right-Back,"Jul 12, 1996 (26)",Indonesia,"1,73m",right,28-Jul-16,Bali United FC Youth,2024,€175k,Bali United FC
37,Privat Mbarga,Right Winger,"Jan 7, 1992 (31)",Cameroon,"1,71m",right,24-Dec-21,Svay Rieng,-,€350k,Bali United FC
41,Irfan Jaya,Right Winger,"May 1, 1996 (27)",Indonesia,"1,62m",right,6-Jan-22,PSS Sleman,-,€225k,Bali United FC
44,Kadek Arel,Centre-Back,"Apr 4, 2005 (18)",Indonesia,"1,85m",right,1-Jan-23,Bali United FC Youth,-,€25k,Bali United FC
47,Rahmat Arjuna,Right Winger,"Apr 30, 2004 (19)",Indonesia,"1,71m",,1-Dec-22,Bali United FC Youth,-,€25k,Bali United FC
55,Made Tito,Defensive Midfield,"Jul 31, 2003 (19)",Indonesia,"1,66m",right,1-Jul-22,Bali United FC Youth,-,€75k,Bali United FC
66,Gede Agus,Left-Back,"Jun 1, 2002 (21)",Indonesia,"1,75m",left,24-Feb-21,Bali United FC Youth,-,€50k,Bali United FC
67,Komang Aryantara,Goalkeeper,"Apr 1, 2005 (18)",Indonesia,"1,81m",right,25-Apr-22,Bali United FC Youth,-,€10k,Bali United FC
72,Nyoman Adi,Attack,,Indonesia,"1,78m",,1-Jul-23,Bali United FC Youth,-,-,Bali United FC
73,Jajang Mulyana,Centre-Back,"Oct 23, 1988 (34)",Indonesia,"1,82m",right,9-May-22,Bhayangkara FC,2024,€75k,Bali United FC
74,Mohammed Rashid,Defensive Midfield,"Jul 3, 1995 (28)",Palestine,"1,83m",right,13-Jul-23,Jabal Al-Mokaber,16-Jul-05,€250k,Bali United FC
77,Ramdani Lestaluhu,Attacking Midfield,"Nov 5, 1991 (31)",Indonesia,"1,67m",right,10-May-22,Persija Jakarta,2024,€100k,Bali United FC
86,Tegar Infantrie,Defensive Midfield,"May 8, 1999 (24)",Indonesia,"1,75m",right,1-Jul-23,Persikabo 1973,-,€125k,Bali United FC
88,Muhammad Ridho,Goalkeeper,"Jan 21, 1991 (32)",Indonesia,"1,78m",right,1-May-22,Madura United FC,-,€150k,Bali United FC
91,Rahmat,Left Winger,"May 28, 1988 (35)",Indonesia,"1,73m",right,1-Jan-20,PSM Makassar,2024,€100k,Bali United FC
94,Jefferson,Centre-Forward,"Oct 21, 1994 (28)",Brazil,"1,85m",,5-Jul-23,Gzira United FC,-,€400k,Bali United FC
1,Aqil Savik,Goalkeeper,"Jan 17, 1999 (24)",Indonesia,"1,86m",right,1-May-22,PERSIB Bandung,-,€100k,Bhayangkara FC
2,Alef,Centre-Back,"Sep 10, 1993 (29)",Brazil,"1,86m",right,20-Jul-23,Khon Kaen United,-,€250k,Bhayangkara FC
3,Abanda Rahman,Centre-Back,"Aug 24, 1990 (32)",Indonesia,"1,81m",right,1-Jul-23,Madura United FC,-,€50k,Bhayangkara FC
4,Anderson Salles,Centre-Back,"Feb 16, 1988 (35)",Brazil,"1,81m",right,20-May-21,Paraná Clube,-,€250k,Bhayangkara FC
5,Fatchu Rochman,Left-Back,"Jun 28, 1995 (28)",Indonesia,"1,70m",both,1-Nov-14,Persekap Pasuruan,-,€125k,Bhayangkara FC
6,Aji Joko Sutopo,Centre-Back,"Mar 31, 1999 (24)",Indonesia,-,right,1-May-22,PSGC Ciamis,-,€75k,Bhayangkara FC
7,Muhammad Ragil,Centre-Forward,"May 8, 2005 (18)",Indonesia,"1,85m",right,1-Jul-23,Garuda Select,-,-,Bhayangkara FC
8,Muhammad Hargianto,Defensive Midfield,"Jul 24, 1996 (26)",Indonesia,"1,68m",right,11-Nov-14,Diklat Ragunan,-,€225k,Bhayangkara FC
10,Adam Najem,Defensive Midfield,"Jan 19, 1995 (28)",Afghanistan,"1,75m",right,11-Jul-22,New York Red Bulls II,14-May-23,€200k,Bhayangkara FC
11,Dylan De Bruycker,Defensive Midfield,"Dec 5, 1997 (25)",Philippines,"1,75m",right,1-Jul-23,Nakhonratchasima Mazda FC,-,€150k,Bhayangkara FC
12,Awan Setho,Goalkeeper,"Mar 19, 1997 (26)",Indonesia,"1,75m",right,1-Jan-17,Persip Pekalongan,-,€225k,Bhayangkara FC
13,Ichwan Tuharea,Attacking Midfield,"Nov 14, 2000 (22)",Indonesia,"1,71m",right,1-Jan-20,Bhayangkara FC Youth,-,€50k,Bhayangkara FC
14,Yusuf Fitra,Centre-Back,,Indonesia,"1,68m",,1-Jul-23,Bhayangkara FC Youth,-,,Bhayangkara FC
15,Surya Maulana,Centre-Back,"Jul 9, 2001 (21)",Indonesia,"1,81m",right,1-Jul-21,Bhayangkara FC Youth,-,€25k,Bhayangkara FC
17,Rifky Ananta,Attacking Midfield,"Jul 2, 2001 (22)",Indonesia,"1,65m",right,1-Jul-23,PSM Madiun,-,-,Bhayangkara FC
18,Crislan,Centre-Forward,"Mar 13, 1992 (31)",Brazil,"1,90m",left,6-Jul-23,Swat Cat,-,€300k,Bhayangkara FC
20,Sani Rizki,Right-Back,"Jan 7, 1998 (25)",Indonesia,"1,65m",right,1-Mar-18,Bhayangkara FC Youth,-,€200k,Bhayangkara FC
21,Titan Agung,Centre-Forward,"Jun 5, 2001 (22)",Indonesia,"1,76m",right,1-Mar-21,Arema FC,-,€100k,Bhayangkara FC
22,Dendy Sulistyawan,Centre-Forward,"Oct 12, 1996 (26)",Indonesia,"1,76m",right,1-Jan-17,Persela Lamongan,-,€225k,Bhayangkara FC
23,Wahyu Subo Seto,Attacking Midfield,"Jul 16, 1993 (29)",Indonesia,"1,68m",right,1-Jan-14,Surabaya United Youth,-,€200k,Bhayangkara FC
24,Iqbal Septian,Goalkeeper,,Indonesia,"1,80m",-,-,-,-,-,Bhayangkara FC
27,Indra Kahfi,Centre-Back,"Oct 5, 1986 (36)",Indonesia,"1,79m",right,5-Apr-16,Pusamania Borneo FC,-,€25k,Bhayangkara FC
28,Alsan Sanda,Right-Back,"Aug 1, 1992 (30)",Indonesia,"1,72m",right,1-Jan-17,Bali United FC,-,€150k,Bhayangkara FC
29,Reza Kusuma,Attacking Midfield,"Feb 7, 2000 (23)",Indonesia,"1,71m",right,1-Jun-22,PS Mitra Kukar,-,€50k,Bhayangkara FC
30,Indra Adi Nugraha,Goalkeeper,"Oct 8, 1993 (29)",Indonesia,"1,78m",right,1-Feb-18,Persiga Trenggalek,-,€25k,Bhayangkara FC
31,Dimas Pamungkas,Central Midfield,"Jul 31, 2004 (18)",Indonesia,"1,74m",left,1-Jul-22,PERSIB Bandung,-,€50k,Bhayangkara FC
33,Matías Mier,Left Midfield,"Aug 2, 1990 (32)",Uruguay,"1,82m",left,20-Jan-23,Independiente Santa Fe,-,€450k,Bhayangkara FC
35,Arsa Ahmad,Centre-Forward,"Oct 31, 2003 (19)",Indonesia,"1,80m",right,1-Jul-23,Bhayangkara FC Youth,-,-,Bhayangkara FC
41,Frezy AI Hudaifi,Defensive Midfield,"Apr 21, 2004 (19)",Indonesia,"1,65m",left,1-Aug-22,Bhayangkara FC Youth,-,€75k,Bhayangkara FC
43,Faiz Maulana,Centre-Forward,"Jul 15, 2004 (19)",Indonesia,"1,77m",right,1-Aug-22,PS Bina Taruna,-,€25k,Bhayangkara FC
45,Fernando Surbay,Left Winger,"Apr 22, 2000 (23)",Indonesia,"1,70m",left,1-Jun-22,PS Palembang,31-Mar-23,€10k,Bhayangkara FC
66,David Maulana,Central Midfield,"Feb 25, 2002 (21)",Indonesia,"1,69m",left,1-Jul-22,HNK Rijeka,15-Jun-24,€75k,Bhayangkara FC
82,Sandeni Sidabutar,Right Winger,"Jan 12, 1997 (26)",Indonesia,-,right,1-Jul-23,PSMS Medan,-,-,Bhayangkara FC
98,Usman Diarra,Centre-Forward,"Jan 31, 1998 (25)",Indonesia,"1,80m",right,8-Jul-23,New Taipei City Hang Yuan FC,-,€25k,Bhayangkara FC
99,Fandi Utomo,Attacking Midfield,"Mar 2, 1991 (32)",Indonesia,"1,76m",right,1-Jul-23,Without Club,-,€125k,Bhayangkara FC
1,Angga Saputro,Goalkeeper,"Nov 30, 1993 (29)",Indonesia,"1,80m",left,1-Mar-21,Persebaya Surabaya,28-Feb-23,€200k,Borneo FC Samarinda
4,Léo Lelis,Centre-Back,"Nov 15, 1993 (29)",Brazil,"1,89m",both,1-Jul-23,Persebaya Surabaya,14-May-24,€275k,Borneo FC Samarinda
6,Silvério,Centre-Back,"Dec 26, 1995 (27)",Portugal,"1,86m",both,1-Jul-23,FC Penafiel,30-Jun-24,€200k,Borneo FC Samarinda
8,Kei Hirose,Central Midfield,"Nov 20, 1995 (27)",Japan,"1,72m",both,15-Dec-21,Johor Darul Ta'zim II,14-Jun-26,€325k,Borneo FC Samarinda
9,Ahmad Nur Hardianto,Centre-Forward,"Mar 6, 1995 (28)",Indonesia,"1,78m",right,1-May-22,Persita Tangerang,30-Apr-24,€200k,Borneo FC Samarinda
10,Jelle Goselink,Centre-Forward,"Jul 31, 1999 (23)",Netherlands,"1,89m",both,1-Jul-23,Helmond Sport,-,€225k,Borneo FC Samarinda
12,Hendro Siswanto,Defensive Midfield,"Mar 12, 1990 (33)",Indonesia,"1,72m",right,1-Mar-21,Arema FC,28-Feb-23,€200k,Borneo FC Samarinda
13,Agung Prasetyo,Centre-Back,"Dec 22, 1992 (30)",Indonesia,"1,87m",right,1-May-22,Persita Tangerang,30-Apr-24,€175k,Borneo FC Samarinda
14,Stefano Lilipaly,Right Winger,"Jan 10, 1990 (33)",Indonesia,"1,75m",right,1-May-22,Bali United FC,30-Apr-24,€325k,Borneo FC Samarinda
15,Leo Guntara,Left-Back,"Aug 17, 1994 (28)",Indonesia,"1,71m",left,23-Feb-21,PSM Makassar,30-Apr-24,€175k,Borneo FC Samarinda
16,Komang Teguh,Defensive Midfield,"Apr 28, 2002 (21)",Indonesia,"1,76m",right,3-Oct-20,Diklat Ragunan,3-Oct-24,€100k,Borneo FC Samarinda
17,Ikhsanul Zikrak,Attacking Midfield,"Nov 8, 2002 (20)",Indonesia,"1,75m",left,1-Jul-23,RANS Nusantara FC,30-Apr-26,€75k,Borneo FC Samarinda
18,Taufany Muslihuddin,Attacking Midfield,"Mar 24, 2002 (21)",Indonesia,"1,71m",right,1-May-22,PS Mitra Kukar,30-Apr-25,€75k,Borneo FC Samarinda
19,Adam Alis,Left Winger,"Dec 19, 1993 (29)",Indonesia,"1,72m",right,26-Jan-23,Arema FC,27-Jan-25,€250k,Borneo FC Samarinda
22,Rizky Dwi,Right-Back,"Feb 22, 1997 (26)",Indonesia,"1,78m",right,1-Jul-23,Arema FC,30-Jun-24,€225k,Borneo FC Samarinda
23,Arya Gerryan,Right Winger,"Oct 24, 2001 (21)",Indonesia,"1,64m",right,6-Feb-20,Borneo FC Samarinda Youth,31-Dec-23,€75k,Borneo FC Samarinda
24,Diego Michiels,Right-Back,"Aug 8, 1990 (32)",Indonesia,"1,80m",right,1-May-22,Arema FC,30-Apr-24,€150k,Borneo FC Samarinda
25,Nadeo Argawinata,Goalkeeper,"Mar 9, 1997 (26)",Indonesia,"1,87m",right,1-Jul-23,Bali United FC,30-Apr-26,€275k,Borneo FC Samarinda
26,Rizdjar Nurviat,Right-Back,"Jan 2, 2006 (17)",Indonesia,"1,77m",right,1-Jul-23,Borneo FC Samarinda Youth,30-Apr-27,-,Borneo FC Samarinda
28,Terens Puhiri,Right Winger,"Oct 13, 1996 (26)",Indonesia,"1,67m",right,1-Jan-15,Persisam Putra Samarinda (- 2014),30-Apr-24,€200k,Borneo FC Samarinda
50,Rivaldo Enero,Central Midfield,"Jan 20, 2003 (20)",Indonesia,"1,72m",right,-,,30-Apr-27,-,Borneo FC Samarinda
54,Alfharezzi Buffon,Centre-Back,"Apr 28, 2006 (17)",Indonesia,"1,72m",,21-Jan-23,Borneo FC Samarinda Youth,30-Apr-27,€10k,Borneo FC Samarinda
56,Fajar Fathur Rahman,Right-Back,"May 29, 2002 (21)",Indonesia,"1,70m",right,10-Sep-20,SSB ASAD 313 Jaya Perkasa,31-Dec-23,€200k,Borneo FC Samarinda
63,Daffa Fasya,Goalkeeper,"May 7, 2004 (19)",Indonesia,"1,84m",,1-Jan-23,Borneo FC Samarinda Youth,5-Oct-24,€25k,Borneo FC Samarinda
68,Hugo Samir,Right Winger,"Jan 25, 2005 (18)",Indonesia,"1,77m",right,1-Jul-23,PERSIS Solo Youth,1-Jun-24,€10k,Borneo FC Samarinda
77,Abdul Rachman,Left-Back,"Jan 30, 1988 (35)",Indonesia,"1,69m",left,16-Jan-23,Bhayangkara FC,30-Apr-25,€50k,Borneo FC Samarinda
81,Yogi Hermawan,Goalkeeper,"Jan 16, 2003 (20)",Indonesia,"1,85m",right,31-Jan-23,PS Barito Putera,30-Apr-25,€25k,Borneo FC Samarinda
90,Muhammad Sihran,Left Winger,"Mar 8, 1999 (24)",Indonesia,"1,58m",left,1-Sep-18,Borneo FC Samarinda Youth,30-Apr-24,€150k,Borneo FC Samarinda
91,Felipe Cadenazzi,Centre-Forward,"Oct 12, 1991 (31)",Argentina,"1,91m",left,20-Jul-23,Magallanes CF,-,€225k,Borneo FC Samarinda
99,Win Naing Tun,Centre-Forward,"May 3, 2000 (23)",Myanmar,"1,82m",right,1-Jul-23,Yangon United,31-May-24,€100k,Borneo FC Samarinda
1,Muhammad Natshir,Goalkeeper,"Feb 13, 1993 (30)",Indonesia,"1,82m",right,1-Apr-22,PERSIB Bandung,2024,€150k,Dewa United FC
2,Mochammad Zaenuri,Centre-Back,"Jun 10, 1995 (28)",Indonesia,"1,82m",right,20-Jul-22,Persebaya Surabaya,20-Jul-23,€200k,Dewa United FC
3,Junior Eldstal,Centre-Back,"Sep 16, 1991 (31)",Malaysia,"1,91m",right,20-Jul-23,Johor Darul Ta'zim,31-Dec-23,€150k,Dewa United FC
4,Asep Berlian,Defensive Midfield,"Jul 11, 1990 (32)",Indonesia,"1,78m",right,7-Apr-22,Madura United FC,2024,€75k,Dewa United FC
5,Risto Mitrevski,Centre-Back,"Oct 5, 1991 (31)",North Macedonia,"1,87m",both,1-May-22,Without Club,30-Apr-24,€225k,Dewa United FC
6,Theo Numberi,Central Midfield,"Sep 1, 2001 (21)",Indonesia,"1,64m",right,1-Jun-22,Persipura Jayapura,2024,€100k,Dewa United FC
7,Feby Eka,Left Winger,"Feb 12, 1999 (24)",Indonesia,"1,83m",both,1-Apr-22,Arema FC,31-Mar-24,€175k,Dewa United FC
8,Nasir,Left-Back,"Oct 8, 1995 (27)",Indonesia,"1,70m",left,1-Jul-22,Persela Lamongan,2024,€100k,Dewa United FC
10,Egy Maulana Vikri,Right Winger,"Jul 7, 2000 (22)",Indonesia,"1,70m",left,30-Jan-23,ViOn Zlate Moravce-Vrable,-,€175k,Dewa United FC
11,Majed Osman,Attacking Midfield,"Jun 9, 1994 (29)",Lebanon,"1,83m",right,1-Jul-22,Al-Ansar FC,31-May-24,€350k,Dewa United FC
12,Henhen Herdiana,Right-Back,"Sep 10, 1995 (27)",Indonesia,"1,69m",right,1-Jul-23,PERSIB Bandung,1-Jul-24,€200k,Dewa United FC
